IC50原始单位,样本数,占比
uM,2712,45.37%
空白/未标注,2614,43.73%
mM,340,5.69%
mg/mL,75,1.25%
ug/mL,74,1.24%
0 0,26,0.43%
382->1000 μM,12,0.20%
46.56>1000 μM,10,0.17%
2.7-43.7 μM/L,10,0.17%
10-1100 μg/ml,9,0.15%
0.33-5.80 μg/ml,7,0.12%
11.6 μM/L,4,0.07%
85.00%,2,0.03%
68.00%,2,0.03%
81.00%,2,0.03%
2.7 μM/L,2,0.03%
0.32 μM/L,2,0.03%
5 μM/L,2,0.03%
10.8 μM/L,2,0.03%
>1000 μM/L,2,0.03%
34.71%,2,0.03%
13.17%,2,0.03%
80.69%,2,0.03%
86.00%,2,0.03%
2.3/1.6 μM,1,0.02%
165 μM/L,1,0.02%
65.8 μM/L,1,0.02%
0.04 mg,1,0.02%
0.52 ± 0.01 mg/ml,1,0.02%
67.00%,1,0.02%
62.00%,1,0.02%
690.9 ± 5.3 μM,1,0.02%
728.2 ± 6.6 μM,1,0.02%
6.8 μM/L,1,0.02%
945.5 μM/L,1,0.02%
549 μM/L,1,0.02%
0.21 μM/L,1,0.02%
3.5 μM/L,1,0.02%
2.4 μM/L,1,0.02%
26 μM/L,1,0.02%
141 μM/L,1,0.02%
928 μM/L,1,0.02%
9 μM/L,1,0.02%
258.21 μM/L,1,0.02%
2018.27 μM/L,1,0.02%
2 μM/L,1,0.02%
15 μM/L,1,0.02%
50 μM/L,1,0.02%
0.82 μM/L,1,0.02%
1.69 ± 0.17 μM,1,0.02%
0.044 mg,1,0.02%
15 %(800μM),1,0.02%
17 %(800μM),1,0.02%
5.1 μM/L,1,0.02%
7.7 μM/L,1,0.02%
28.3 μM/L,1,0.02%
3.7 μM/L,1,0.02%
43.7 μM/L,1,0.02%
12.4 μM/L,1,0.02%
11.3 μM/L,1,0.02%
362.5 ± 23.56 μM,1,0.02%
475.89 ± 41.73 μM,1,0.02%
34.2 ± 2.22 μM,1,0.02%
552.5 552.5,1,0.02%
26.2 26.2,1,0.02%
66 μM/L,1,0.02%
60.40%,1,0.02%
90.00%,1,0.02%
9.5 μM/ml,1,0.02%
12.68 μg/μl,1,0.02%
1000 μM/L,1,0.02%
71.81%,1,0.02%
0.066 μM/ml,1,0.02%
736.7 ± 4.8 μM,1,0.02%
21 μM/L,1,0.02%
20.85 μM/L,1,0.02%
23.07 μM/L,1,0.02%
300.1 μM/L,1,0.02%
173.3 μM/L,1,0.02%
256.8 μM/L,1,0.02%
346 mM/L,1,0.02%
4 mM/L,1,0.02%
93 mM/L,1,0.02%
25 mM/L,1,0.02%
21 mM/L,1,0.02%
