field_name,total_rows,missing_count,non_missing_count,missing_ratio
record_id,837,0,837,0.0
task,837,0,837,0.0
sequence,837,0,837,0.0
peptide_length,837,0,837,0.0
source_type,837,0,837,0.0
source_name,837,0,837,0.0
source_record_id,837,0,837,0.0
evidence_type,837,0,837,0.0
target,837,0,837,0.0
activity_label_raw,837,0,837,0.0
ic50_raw,837,0,837,0.0
ic50_value,837,0,837,0.0
ic50_unit,837,837,0,1.0
ic50_relation,837,0,837,0.0
ic50_uM,837,837,0,1.0
ic50_parse_status,837,0,837,0.0
ic50_parse_note,837,0,837,0.0
name_raw,837,0,837,0.0
function_text_raw,837,80,757,0.095579
activity_code_raw,837,0,837,0.0
activity_name_raw,837,0,837,0.0
activity_measure_label_raw,837,837,0,1.0
measure_type_raw,837,0,837,0.0
number_of_residues_raw,837,0,837,0.0
chemical_mass,837,0,837,0.0
monoisotopic_mass,837,0,837,0.0
bibliographic_authors_raw,837,837,0,1.0
bibliographic_title_raw,837,837,0,1.0
bibliographic_year_raw,837,837,0,1.0
bibliographic_source_type_raw,837,837,0,1.0
bibliographic_raw,837,837,0,1.0
database_reference_raw,837,335,502,0.400239
additional_information_raw,837,837,0,1.0
smiles,837,837,0,1.0
inchi,837,837,0,1.0
inchikey,837,837,0,1.0
detail_report_url,837,0,837,0.0
list_page_number,837,0,837,0.0
list_page_url,837,0,837,0.0
list_row_index,837,0,837,0.0
raw_text_path,837,0,837,0.0
raw_html_path,837,0,837,0.0
sequence_from,837,0,837,0.0
length_consistency_flag,837,0,837,0.0
merge_source,837,0,837,0.0
notes,837,0,837,0.0
