food_matrix_raw,count
Skimmed Milk,139
Bovine sodium Caseinate,128
Porcine sarcoplasmic proteins,66
Fermented bovine Milk,39
Fermented Milk,38
WSE of commercial fermented Milk spain,35
Reconstituted skim Milk (10% wt/wt),32
Reconstituted Non fat dryMilk/ WSEof Fermented Milk,28
Casein ( proMilk 85),26
Rye Malt:wheat gluten/ barley hordein sourdough,24
"raw Ewe's mik , Manchego cheese",22
WSE of Cheddar cheese,21
Fermented soyabean seasoning,18
wholemeal wheat flour sourdough,14
Wakame Hydrolysates,14
mexican frescocheese WSE,11
Milk,10
UHT skim Milk,10
sodium Caseinate,10
fermented Milk ( lassi),8
skim Milk Yogurt,8
rye malt gluten sourdough,8
wheat sourdough,8
sheep Milk Yogurt,7
caprine kefir,6
vitis hybrid red wine made from Vitis hybrid–Vitis coignetiae must,6
WSE of commercial manchego cheese ( ewe's Milk),6
WSE of roncal cheese,6
Bovine Milk sodium Caseinate,6
fermented sheep Milk,5
soy protein ( Natto),5
WSE of commercial goat cheese,5
Reconstituted Whey powder,5
sheep Milk sodium Caseinate,5
Yogurt,5
soy protein+glucose,4
soybean proteins,4
Red mold rice ( non glutinous rice),4
WSE of Idiaz´abal cheese ( Ovine Milk),4
"Casein miso paste (sodium Caseinate (24%: w/w), rice koji (20.9%: w/w), salt (10.8%: w/w), S.cerevisiae (0.1%: w/w) and water (3.1%: w/w)",4
Natto,4
Acetes chinensis (shrimp sp. ),3
Yogurt like product,3
probiotic femented Milk,3
WSE of commercial Cabrales cheese ( cow Milk + Ewe Milk + goat Milk ),3
Human Milk sodium Caseinate,3
Salt free soy sauce,3
Casein medium,2
salt free soy sauce,2
Fermented soy protein (Defatted soya flour),2
Tofuyo fermented soy food,2
Edible Mushroom,2
Fermented Milk (reconstituted skim Milk),2
"Fermented Milk Whey product (4.5% (w/v) skimmed Milk powder, 5.5% (w/v) whole Milk powder and 7% (w/v) sucrose )",2
Tofuyo,2
goat Milk sodium Caseinate,2
Whey protein,1
goat Whey,1
Korean Fermented soyabean paste,1
fermented soy extract prepared from soy koji,1
Douchi fermented soy food of china,1
Fermented rice brown extract,1
WSE of Crescenza cheese,1
Sheep cheese Whey,1
"commercial Whey product, WE80BG",1
Skim Milk,1
Buffalo Milk sodium Caseinate,1
fermented blue mussel sauce,1
Fermented soyabean extract,1
