field_name,total_rows,missing_count,non_missing_count,missing_ratio
record_id,859,0,859,0.0
task,859,0,859,0.0
source_type,859,0,859,0.0
source_name,859,0,859,0.0
source_record_id,859,0,859,0.0
target,859,0,859,0.0
sequence,859,0,859,0.0
peptide_length,859,0,859,0.0
activity_label_raw,859,0,859,0.0
ic50_raw,859,393,466,0.457509
ic50_value,859,393,466,0.457509
ic50_unit,859,540,319,0.628638
ic50_relation,859,393,466,0.457509
ic50_uM,859,561,298,0.653085
ic50_parse_status,859,0,859,0.0
ic50_parse_note,859,393,466,0.457509
food_matrix_raw,859,2,857,0.002328
protein_raw,859,150,709,0.174622
culture_raw,859,64,795,0.074505
hydrolysis_raw,859,348,511,0.405122
experiment_raw,859,128,731,0.14901
model_raw,859,739,120,0.860303
assay_raw,859,199,660,0.231665
method_of_analysis_raw,859,30,829,0.034924
mz_ratio_raw,859,638,221,0.742724
mass_raw,859,387,472,0.450524
mass_da,859,286,573,0.332945
pubmed_id_raw,859,245,614,0.285215
title_raw,859,620,239,0.721769
ph_raw,859,634,225,0.738068
temperature_raw,859,133,726,0.154831
incubation_time_raw,859,86,773,0.100116
detail_url,859,0,859,0.0
notes,859,36,823,0.041909
