field_name,total_rows,missing_count,non_missing_count,missing_ratio
record_id,363,0,363,0.0
task,363,0,363,0.0
source_type,363,0,363,0.0
source_name,363,0,363,0.0
source_record_id,363,0,363,0.0
target,363,0,363,0.0
sequence,363,0,363,0.0
peptide_length,363,0,363,0.0
activity_label_raw,363,0,363,0.0
ic50_raw,363,29,334,0.07989
ic50_value,363,29,334,0.07989
ic50_unit,363,29,334,0.07989
ic50_relation,363,29,334,0.07989
ic50_uM,363,29,334,0.07989
ic50_parse_status,363,0,363,0.0
ic50_parse_note,363,29,334,0.07989
protein_id_raw,363,0,363,0.0
protein_description_raw,363,0,363,0.0
species_raw,363,0,363,0.0
intervals_raw,363,0,363,0.0
function_raw,363,0,363,0.0
additional_details_raw,363,361,2,0.99449
inhibition_type_raw,363,361,2,0.99449
inhibited_microorganisms_raw,363,363,0,1.0
ptm_raw,363,363,0,1.0
title_raw,363,0,363,0.0
authors_raw,363,0,363,0.0
abstract_raw,363,0,363,0.0
doi_raw,363,0,363,0.0
notes,363,289,74,0.796143
