metric,value
input_list_filename,fermfoodb_ace_list.csv
input_detail_filename,fermfoodb_ace_detail.csv
input_list_rows,859
input_detail_rows,859
unique_detail_fmdb_id,859
master_rows,859
rows_with_detail_url,859
ic50_parse_status::exact_molar,285
ic50_parse_status::missing,393
ic50_parse_status::molar_threshold,13
ic50_parse_status::mass_concentration_needs_mass,21
ic50_parse_status::numeric_no_unit,147
ic50_unit::uM,178
ic50_unit::ug/ml,63
ic50_unit::mM,4
ic50_unit::mg/ml,36
ic50_unit::M,38
detail_join::detail_present,859
rows_with_noncanonical_sequence,7
