metric,value
input_rows_total,837
resolved_ic50_rows,807
excluded_ec50_rows,30
excluded_noncanonical_rows,5
excluded_length_conflict_rows,5
core_record_level_rows,801
core_sequence_level_rows,799
short_2_3_record_level_rows,336
short_2_3_sequence_level_rows,336
core_length::2,129
core_length::3,207
core_length::4,92
core_length::5,95
core_length::6,83
core_length::7,60
core_length::8,46
core_length::9,32
core_length::10,26
core_length::11,10
core_length::12,5
core_length::13,5
core_length::14,4
core_length::15,2
core_length::16,3
core_length::18,1
core_length::19,1
core_ic50_relation::=,801
