metric,value
input_rows_total,859
excluded_rows_total,485
strict_record_level_rows,318
strict_sequence_level_rows,153
expanded_record_level_rows,374
expanded_sequence_level_rows,153
short_2_3_strict_record_level_rows,139
short_2_3_strict_sequence_level_rows,40
short_2_3_expanded_record_level_rows,141
short_2_3_expanded_sequence_level_rows,40
input_parse_status::exact_molar,306
input_parse_status::missing,393
input_parse_status::molar_threshold,13
input_parse_status::numeric_no_unit,91
input_parse_status::rescued_numeric_no_unit,56
strict_parse_status::exact_molar,305
strict_parse_status::molar_threshold,13
expanded_parse_status::exact_molar,305
expanded_parse_status::molar_threshold,13
expanded_parse_status::rescued_numeric_no_unit,56
strict_length::2,49
strict_length::3,90
strict_length::4,11
strict_length::5,24
strict_length::6,37
strict_length::7,10
strict_length::8,8
strict_length::9,23
strict_length::10,16
strict_length::11,14
strict_length::12,3
strict_length::13,10
strict_length::14,2
strict_length::15,2
strict_length::17,7
strict_length::19,7
strict_length::22,1
strict_length::24,2
strict_length::25,1
strict_length::27,1
expanded_length::2,51
expanded_length::3,90
expanded_length::4,11
expanded_length::5,24
expanded_length::6,59
expanded_length::7,17
expanded_length::8,8
expanded_length::9,42
expanded_length::10,18
expanded_length::11,17
expanded_length::12,3
expanded_length::13,10
expanded_length::14,2
expanded_length::15,2
expanded_length::17,8
expanded_length::19,7
expanded_length::22,1
expanded_length::24,2
expanded_length::25,1
expanded_length::27,1
strict_seq_stability::within_range_consistent,42
strict_seq_stability::singleton,106
strict_seq_stability::conflicting,5
expanded_seq_stability::within_range_consistent,38
expanded_seq_stability::singleton,106
expanded_seq_stability::conflicting,9
