metric,value
input_rows_total,363
resolved_ic50_rows,334
excluded_missing_or_unresolved_ic50_rows,29
excluded_noncanonical_or_missing_sequence_rows,0
core_record_level_rows,334
core_sequence_level_rows,334
short_2_3_record_level_rows,65
short_2_3_sequence_level_rows,65
core_length::2,23
core_length::3,42
core_length::4,41
core_length::5,44
core_length::6,47
core_length::7,33
core_length::8,25
core_length::9,17
core_length::10,20
core_length::11,9
core_length::12,9
core_length::13,3
core_length::14,2
core_length::15,3
core_length::16,4
core_length::17,4
core_length::18,3
core_length::19,2
core_length::27,1
core_length::28,1
core_length::30,1
core_species::Bos taurus,222
core_species::Ovis aries,27
core_species::Homo sapiens,62
core_species::Bos mutus,2
core_species::Capra hircus,16
core_species::Bubalus bubalis,2
core_species::Camelus dromedarius,2
core_species::Equus asinus,1
core_ic50_relation::=,334
